Name,Firm,Title
Jimmy Cattani,"Long Pond Captial, LP",Analyst
Alexandra Johnstone,Macerich,VP of Finance
Brad Miller,Macerich,"SVP, Asset Management"
Dan Swanstrom,Macerich,CFO
Jackson Hsieh,Macerich,President & CEO
Samantha Greening,Macerich,"Assistant Vice President, Investor Relations"
Tripp Sullivan,Macerich,Investor Relations
Charles Fitzgerald,Maewyn Capital Partners,Founder & Managing Partner
hank carmichael,Marshall Wace,Research Analyst
Nick Vedder,Marshall Wace,Portfolio Manager
Daniel Gonzalez,Matthews,VP & Associate Director
Alex Carraway,MFS Investment Management,Analyst
Rick Gable,MFS Investment Management,Portfolio Manager
sam rice,Millennium,Senior Analyst
Shashank Saurav,Mizuho,Research Associate
Vikram Malhotra,Mizuho,Managing Director
Haendel St. Juste,Mizuho Securities USA,Managing Director
David Toledano,Mizuho Securities USA LLC,"Managing Director, Real Estate"
Michael Stefany,Mizuho Securities USA LLC,Equity Research Associate
Noel Purcell,Mizuho Securities USA LLC,Managing Director - Group Head
Ravi Vaidya,Mizuho Securities USA LLC,Equity Research Associate
Jim Collins,Morgan Stanley,Managing Director
Matthew Johnson,Morgan Stanley,Managing Director & Co-Head of US Real Estate
Mike Connor,Morgan Stanley,Managing Director
Ronald Kamdem,Morgan Stanley,"Managing Director, Head of US REITs & CRE Research"
Russ Lindberg,Morgan Stanley,Managing Director
Sean Gormley,Morgan Stanley,Managing Director
Seth Weintrob,Morgan Stanley,Managing Director
Brenda Lum,Morningstar DBRS,Managing Director
Greg Hiltebrand,Morningstar DBRS,Senior Vice President
John Hensley,Morrison & Foerster LLP,Partner
Larry Medvinsky,Morrison & Foerster LLP,Partner
Daniel Castro,Neuberger Berman,Investor
Alex Knapp,Norges Bank Investment Management,Global Head of Real Estate
Fredrik Rydland,Norges Bank Investment Management,Portfolio Manager
Griffin Bazor,Nuveen,"Senior Director, Senior Analyst"
Sarah Wade,Nuveen Asset Management,"Managing Director, Portfolio Manager"
Kerry Johnson,Paul Hastings LLP,Partner
Ben Bronner,PIMCO,Portfolio Manager
michael marino,Piper Sandler,Director
James Harmann,PNC,Sr. VP
Mike Miller,PNC,SVP
David Drouillard,PNC Bank,Sr. VP
ANDREW WHITE,PNC Real Estate,SVP
Anthony Nemoto,Point72,Analyst
Timothy Sledge,Putnam Investments,Analyst
Buck Horne,Raymond James & Associates,Managing Director
Jonathan Hughes,Raymond James & Associates,Managing Director
RJ Milligan,Raymond James & Associates,Managing Director
Collin Mings,Rayonier Inc.,"VP, Capital Markets & Strategic Planning"
Mark McHugh,Rayonier Inc.,President & CEO
Asad Kazim,RBC Capital Markets,US Head of Real Estate
Brian Gross,RBC Capital Markets,Managing Director
Jim Cronin,RBC Capital Markets,Managing Director
Joon Lee,RBC Capital Markets,Managing Director
JT Deignan,RBC Capital Markets,Managing Director
Kathryn Ogden,RBC Capital Markets,"Global Head, Real Estate Capital Partners & Real Estate Corporate Banking"
Mary Baccash,RBC Capital Markets,Managing Director
Ross Smotrich,"RE Strategic Advisors, LLC / Columbia University",Managing Principal / Professor
Billy See,Scotiabank,Managing Director
Nick Yulico,Scotiabank,Managing Director
Bridget LaCien,Security Capital Research & Management Incorporated,Executive Director
David Kleinerman,Security Capital Research & Management Incorporated,Executive Director
Kevin Bedell,Security Capital Research & Management Incorporated,Managing Director
Nate Gear,Security Capital Research & Management Incorporated,Executive Director
Naveed Nabavi,Security Capital Research & Management Incorporated,Executive Director
Peter Sutton,Security Capital Research & Management Incorporated,Executive Director
Vincent Criscuolo,Singerman Real Estate,Vice President
Linda Standaart,Stewart Title Guaranty Company,VP National Account Executive
Chad Gorsuch,"Stifel, Nicolaus & Co., Inc.",Managing Director
Richard Repetto,"Stifel, Nicolaus & Co., Inc.",Managing Director
Stephen Zimmerman,"Stifel, Nicolaus & Co., Inc.",Director
Mary Preusse,Sturgis Partners LLC,Founder & Principal
Ethan Alderman,Surveyor Capital,Analyst
Dan Charrow,Surveyor Capital Ltd,Investor
Sorab Sandhawalia,T Rowe Price,Associate Analyst
Preeta Ragavan,T. Rowe Price,Investment Analyst
Dylan Cotter,"T. Rowe Price Associates, Inc.",Associate Analyst
Gregg Korondi,T.Rowe Price,Portfolio Manager
Dana Muckstadt,TD Bank,"VP, Relationship Manager"
Donald Wattson,TD Bank,"VP, Relationship Manager"
Jessica Trombly,TD Bank,"VP, Team Lead REITs & Investment Funds"
John Szeman,TD Bank,Head of REITS and Investment Funds
Mike Duganich,TD Bank,Relationship Manager
Gianna Gioia,TD Bank NA,"VP, Relationship Manager"
George Skoufis,"TD Bank, N.A.","VP, Relationship Manager"
jordan weiner,TD Securities,Director
Spencer Haimes,TD Securities,Managing Director
Jay Leupp,Terra Firma Asset Management LLC,Managing Partner & Co-Founder
Blake Baird,Terreno Realty Corporation,Chairman & CEO
Jaime Cannon,Terreno Realty Corporation,CFO
Mike Coke,Terreno Realty Corporation,President
Josh Arundel,The Huntington National Bank,SVP
Bryan Maher,The RMR Group,SVP
Tony Bencina,Truist,Managing Director
Alex Rownd,Truist Securities,Director
Brian Flickinger,Truist Securities,Recib Director
Chris Chang,Truist Securities,"Investment Banking Cre, Banking Group"
Danny Stover,Truist Securities,Managing Director
Doug Sears,Truist Securities,Managing Director
Francine Glandt,Truist Securities,"Director, Real Estate Corporate & Investment Banking"
Gerry Rosales,Truist Securities,"Investment Banking MD 1 Cre, Banking Group"
Gregory Miller,Truist Securities,"VP, Lodging/Leisure/Wellness Equity Research"
James Morrison,Truist Securities,Debt Capital Markets
Kyle Bonci,Truist Securities,Equity Research Associate
Lindsey Houser,Truist Securities,Head of Real Estate Investment Banking
Michael Lewis,Truist Securities,"Managing Director, REIT Research"
Nadia Mahmoud,Truist Securities,Managing Director
Rico Simon,Truist Securities,Head of Real Estate Corporate Banking
Lee Hord,U.S. Bank,SVP-REIT Group
Phil Wantoch,U.S. Bank,SVP
Ami Probandt,UBS,Equity Analyst
Justin Haasbeek,UBS,Associate Director
Mark Langer,Urban Edge Properties,CFO
Charles Carpenter,US Bancorp,"Managing Director, Credit Fixed Income"
Austin Scieszinski,Vinson & Elkins LLP,Associate
Bekah Briggs,Vinson & Elkins LLP,Associate
Chris Green,Vinson & Elkins LLP,Partner
Daniel LeBey,Vinson & Elkins LLP,Partner
Glen Taylor,Vinson & Elkins LLP,Associate
Greg Cope,Vinson & Elkins LLP,Partner
Selena Govan,Vinson & Elkins LLP,Associate — Real Estate Capital Markets and Mergers & Acquisitions
Zachary Swartz,Vinson & Elkins LLP,"Partner, Capital Markets and Mergers & Acquisitions"
Andrew Moffs,Vision Capital Corporation,SVP-Portfolio Manager
Bassel Hammad,Vision Capital Corporation,Senior Analyst
Ben Rozyn,Vision Capital Corporation,"VP, Associate PM"
Cameron Salmers,Vision Capital Corporation,Investment Analyst
Jeffrey Olin,Vision Capital Corporation,"President & CEO, Portfolio Manager"
Lauren White,Wellington Management Company,ESG Research Associate
Scott Levin,Wells Fargo,Managing Director
Kevin McClure,"Wells Fargo Securities, LLC",Director
Matthew Hopkins,"Wells Fargo Securities, LLC",Managing Director
Randy Williamson,"Wells Fargo Securities, LLC",Managing Director & Head - REGAL
Andrew Rosivach,WOLFE RESEARCH LLC,Managing Director
